What degree did you receive at GSAPP?,What is your annual salary?,Photoshop,Illustrator,InDesign,After Effects,Lightroom,AutoCad,Rhino,Grasshopper,3dsMax,Maya,Revit,SketchUp,Excel,Word,PowerPoint,Processing,Python,ArcGIS,D3,CartoDB,MapBox,Dreamweaver,JavaScript,Catia,Ecotect
M.Arch,Less than $30,1,1,1,,,1,1,,,,1,,1,1,1,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,1,1,1,1,,,,1,,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,,,,,1,,,,,,,,,,,,,
M.Arch,$30 - $40,1,1,1,,,1,1,1,,,,,,,,,1,,1,,,,1,,
M.Arch,$40 - $50,1,1,1,1,,1,1,1,,,,,1,1,1,,,,,,,,,,1
M.Arch,$50 - $60,1,1,1,,,1,1,,,,,,1,1,,,,,,,,,,,
M.Arch,Less than $30,1,1,1,,,1,1,,1,,,1,1,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,1,,1,1,1,,,1,1,1,1,1,,,,,,,1,,,1
M.Arch,$50 - $60,1,,1,,,,1,,,,,1,1,1,,,,,,,,,,,
M.Arch,$70 - $80,,,1,,,,,,,,1,,1,,,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,,,,,,1,1,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,,,,,1,1,1,,,,,,,,,,,
M.Arch,$60 - $70,1,1,1,,,,,,1,,1,1,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,,,,1,,1,1,1,,,,,,,,,,
M.Arch,$40 - $50,1,1,,,,1,1,,,,1,,,,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,1,,,1,1,,,1,,,,,,1,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,
M.Arch,$80 - $90,1,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,
M.Arch,$50 - $60,,1,1,,,1,1,1,,,1,,1,,,1,,,,,,,,1,
M.Arch,$80 - $90,1,1,1,1,,,1,1,,,,,1,1,1,,,1,,,,,,,1
M.Arch,$50 - $60,1,1,1,,,1,1,1,,,1,,1,1,,,,,,,,,,,
M.Arch,$60 - $70,1,1,1,,,1,1,,1,,,,,,,,,,,,,,,,
M.Arch,$60 - $70,1,1,1,,,1,1,1,1,,,,1,1,1,,,1,,,,,,,1
M.Arch,$40 - $50,1,1,1,,,1,1,,,,,,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,1,1,1,,,,,,1,1,,,,,,,,,,,
M.Arch,$100 or more,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,
M.Arch,Less than $30,1,1,,,,1,1,,,,,,,,,,,,,,,,,,
M.Arch,$50 - $60,,,,,,1,,,,,,,,1,,,,,,,,,,,
M.Arch,$70 - $80,1,1,1,,,1,1,,,,1,,1,1,,,,,,,,,,,
M.Arch,$60 - $70,1,1,1,1,1,1,1,1,1,,,,1,1,,,,,,,,,,,1
M.Arch,$30 - $40,1,1,1,,,1,1,,,,,,1,1,1,,,,,,,,,,
M.Arch,$30 - $40,,,,,,1,,,,,,,1,1,,,,1,,,,,,,
M.Arch,$70 - $80,1,1,1,,,,1,,,,1,,1,1,1,,,,,,,,,,
M.Arch,$70 - $80,1,1,,1,,1,1,1,,,1,,1,1,1,,1,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,,,,,,1,1,,,,,,,,,,,
M.Arch,$60 - $70,1,,1,,,1,1,,,,,,,,,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,1,1,1,1,,1,,1,1,,,,,,,,,,,
M.Arch,$70 - $80,1,1,1,,,1,1,1,,,,,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,,1,,,,1,1,,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,1,1,,,,1,1,1,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,,1,,1,1,1,1,,,,1,,,,,,,
M.Arch,$60 - $70,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,,,,,,,,,1
M.Arch,$50 - $60,1,1,1,,,1,1,1,,,,,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,1,,1,1,1,1,,1,,1,1,1,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,1,1,1,,,1,1,1,,1,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,1,1,1,,,,,1,1,,,,,,,,,,,
M.Arch,$80 - $90,,,,,,,,,,,,,1,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,,1,,,,,,,,1,1,1,1,,,,,,,,,,,
M.Arch,$60 - $70,1,1,1,,,1,1,,,,1,,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,1,1,,1,,1,,,,,,,,,,,,,,,,
M.Arch,$60 - $70,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,1,,,,,1,1,,,,,,,,,,,
M.Arch,$60 - $70,1,1,1,,,1,,,,,1,1,1,1,1,,,,,,,,,,
M.Arch,$60 - $70,1,1,1,1,,1,1,1,1,,1,,1,1,1,,,,,,,,,,
M.Arch,$60 - $70,1,1,1,1,,1,1,,1,,,1,1,1,,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,1,,,,,1,,,,,,,,,,,,,,
M.Arch,$60 - $70,1,1,1,,,1,1,1,1,,,1,1,1,1,,,,,,,,,,
M.Arch,$30 - $40,1,1,1,1,,1,1,1,1,,,,1,1,1,1,,1,,,,,,,
M.Arch,$40 - $50,1,1,1,,,1,,,,,1,1,1,1,,,,,,,,,,,
M.Arch,$60 - $70,1,1,1,,,1,1,,,,,,1,1,,,,,,,,,,,
M.Arch,$30 - $40,1,1,1,,,1,1,1,,,1,1,1,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,,,,,1,,1,1,1,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,1,1,1,,1,1,1,1,,,,,,,,,,,
MS.AAD,Less than $30,1,1,1,,,1,1,1,,,,1,1,1,1,,,,,,,,,,
MS.AAD,$50 - $60,1,,,,,1,,,1,,,1,1,1,,,,,,,,,,,
MS.AAD,Less than $30,1,1,1,1,,1,1,1,,1,,,1,1,1,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,,,,,1,,1,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,1,1,,1,,1,1,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,1,,1,1,1,,,,,1,1,1,,,,,,,,,,
MS.AAD,$50 - $60,1,,1,,,1,,,1,,1,,,,,,,,,,,,,,
MS.AAD,$60 - $70,1,1,1,,,,,,,,,1,1,1,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,1,1,,,,,1,1,1,,,,,,,,,,
MS.AAD,$60 - $70,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,,,,1,,1,1,,,,1,,,,,,,
MS.AAD,$70 - $80,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,
MS.AAD,$80 - $90,1,1,,,,1,1,,,,,1,1,1,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,1,1,,,1,,1,1,1,,,,,,,,,,
MS.AAD,$30 - $40,,,,,,1,1,,,,,1,,,,,,,,,,,,,
MS.AAD,$90 - $100,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,,,,,,1,1,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,1,,,1,1,,,,1,,,,1,,,,,,,1,,
MS.AAD,$60 - $70,,,,,,,1,1,,,1,,,,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,,,,1,1,,,,,,,,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,1,,,,,1,1,,,,,,,,,,,
MS.AAD,$80 - $90,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,
MS.AAD,$30 - $40,1,1,,,,,1,1,,,,,,,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,1,,,,1,,1,,,,,,,,,,,,
MS.AAD,$70 - $80,1,1,1,1,,1,1,1,,,1,,1,1,1,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,1,1,1,1,1,1,,,,1,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,,,,,,1,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,1,,1,,,1,,1,1,1,1,1,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,1,,1,1,1,1,,,1,1,1,1,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,,,,1,,,,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,,,,1,1,,,,,,1,1,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,,,,,1,1,,,,,,,,,,,,,
MS.AAD,$50 - $60,,,,,,1,1,,,,,,1,1,,,,,,,,,,,
MS.AAD,$60 - $70,1,1,1,1,,1,1,1,1,,1,,1,1,1,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,1,,1,,1,,1,1,,,,,,,,,,,
MS.AAD,$70 - $80,1,1,,,,,,,,,,1,,,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,
MS.AAD,$70 - $80,1,1,1,,,,,,,,,1,1,1,1,,,,,,,,,,
MS.AAD,Less than $30,1,,1,,,1,,,1,,,,1,,1,,,,,,,,,,
MS.AAD,$60 - $70,1,1,1,,,1,1,1,,,1,1,1,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,,1,,1,1,1,1,,,,,,,,,,,
MS.AAD,$60 - $70,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,
MS.AAD,Less than $30,1,1,1,,,1,1,,1,,,,,,,,,,,,,,,,
MS.AAD,$60 - $70,1,1,1,,,1,1,1,,,1,,1,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,,1,,1,1,,,1,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,1,,,,,,1,1,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,1,,,,1,,1,1,1,,,,,,,,,,1
MS.AAD,$50 - $60,1,1,1,,,,,,,,,,1,1,1,,,,,,,1,,,
MS.AAD,$40 - $50,1,1,1,,,,,,,,,1,1,1,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,1,1,,,,,1,1,1,,,,,,,,,,
MS.AAD,$50 - $60,1,,1,,,1,1,,,,,,1,1,,,,1,,,,,,,
MS.AAD,$70 - $80,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,1,,,,,1,1,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,1,,,,,1,1,,,,,,,,,,,
MS.AAD,Less than $30,1,,,,,1,1,1,1,,,,1,,1,,,,,,,,,,
MS.AAD,$60 - $70,1,1,,,,,,,1,,1,,,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,,1,,,1,1,1,1,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,1,,1,,,,,,1,1,1,,,,,,,,,,,
MS.AAD,$60 - $70,1,1,1,,,1,1,,1,,,,1,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,,1,,,,1,,,
MS.AAD,$70 - $80,1,1,1,,,1,,,,,1,,1,1,1,,,,,,,,,,
MS.AAD,$50 - $60,1,,1,,,1,1,,1,,,,1,1,1,,,,,,,,,,
MS.AAD,$60 - $70,1,1,1,,,1,1,,,,,,1,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,,1,,,,1,1,,,,,,,,,,,,,
MS.AAD,$70 - $80,1,1,1,,,1,1,,1,,,,1,1,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,1,,,,,,1,1,,,,,,,,1,,,
MS.AAD,$40 - $50,1,1,1,,,1,1,,,,,,1,1,1,,,,,,,,,,
MS.AAD,Less than $30,1,1,,,,1,1,,,,1,,1,,,,,,,,,,,,
MS.AAD,$30 - $40,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,1,,1,,,,1,1,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,1,,,,1,1,,,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,,,,,1,,,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,1,,1,1,1,,,1,1,1,1,,,,,,,,,,,
MS.AAD,$30 - $40,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,
MS.AAD,$40 - $50,1,1,1,1,,1,1,1,1,,,,1,1,1,,,,,,,,,,
MS.AAD,$30 - $40,1,1,1,,,1,,1,,,,1,1,1,1,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,1,,1,1,,1,,,1,1,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,1,,,,1,,,1,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,1,,,,,1,1,,1,1,,,,,1,1,,1
MS.AAD,$70 - $80,1,1,1,,,1,,,,,1,,1,1,,,,1,,,,,,,
MS.AAD,Less than $30,1,1,1,,,1,1,1,,,1,,,,,,,,,,,,,,
MS.AAD,$30 - $40,1,1,1,,,1,1,,1,,1,,1,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,,,,,1,,,,,,,,,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,,,,,,1,1,,,,,,,,,,,
MS.AAD,$70 - $80,1,,1,,,,1,1,,,,,1,1,,,,,,,,,,1,
MS.AAD,$60 - $70,1,1,1,,,1,1,1,,,,,1,1,1,,,,,,,,,,1
MS.AAD,$70 - $80,1,1,1,,,1,1,1,1,,1,,1,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,,1,,,,1,,1,1,,,,,,,,,,,
MS.AAD,$50 - $60,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,,,1,1,1,1,,1,,1,1,1,,,1,,,,,,,1
MS.AAD,$50 - $60,1,1,1,,,1,1,,1,,,1,,1,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,1,,1,1,1,1,,,,1,1,1,,1,,,,,,1,,
MS.AAD,$50 - $60,1,1,1,,,1,,,,,,1,1,1,,,,,,,,,,,
MS.AAD,$40 - $50,1,1,1,1,,1,1,,1,,,1,1,1,1,,,,,,,,,,
MS.AUD,$60 - $70,1,1,1,1,,1,,,1,,,,,,,,,,,,,,,,
MS.AUD,$60 - $70,,,,,,,,,,,1,,,,,,,,,,,,,,
MS.AUD,$80 - $90,1,1,1,,,1,1,1,,,1,,1,1,1,,,1,,,,,,,
MS.AUD,$50 - $60,1,1,1,,,1,,,1,,,1,1,1,1,,,,,,,,,,
MS.AUD,$50 - $60,1,1,1,,,1,,,,,,1,1,1,,,,,,,,,,,
MS.AUD,$60 - $70,1,1,1,,,1,1,1,1,,,,1,1,1,,,1,,,,,,,
MS.AUD,$50 - $60,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,,1,,,,,,,
MS.AUD,$90 - $100,1,1,1,1,,1,1,1,1,,,1,1,1,1,,,,,,,,,,
MS.AUD,$80 - $90,1,1,1,,,1,1,1,,,1,,1,1,,,,,,,,,,,
MS.AUD,$80 - $90,1,1,1,1,,1,,,,,,1,1,1,,,,1,,,,,,,
MS.AUD,$50 - $60,1,1,1,,,1,1,,,,,,1,1,1,,,1,,,,,,,
MS.AUD,$50 - $60,1,1,1,,,1,,,,,,1,1,1,1,,,1,,,,,,,
MS.AUD,$50 - $60,1,1,1,,,1,1,,1,,,,1,1,1,,,,,,,,,,
MS.AUD,Less than $30,1,1,1,,,1,,,,,,1,,1,1,,,,,,,,,,
MS.AUD,$40 - $50,1,1,1,,,1,1,,,,,1,1,1,,,,,,,,,,,
MS.AUD,$100 or more,1,1,1,,,1,1,1,,,,,1,1,1,,,1,,,,,,,
MS.AUD,$40 - $50,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,
MS.AUD,$60 - $70,1,1,1,,,1,,,1,,,1,1,1,1,,,,,,,,,,
MS.AUD,$40 - $50,1,1,,,,1,,,1,,1,1,1,1,1,,,,,,,,,,
MS.AUD,$50 - $60,1,1,1,,,1,1,,,,,,1,,1,,,1,,,,,,,
MS.AUD,$80 - $90,1,,1,,,1,,,,,,1,1,1,,,,,,,,,,,
MS.AUD,$60 - $70,1,1,1,,,1,1,1,1,,1,1,1,1,1,,,1,,,,,,,1
MS.AUD,Less than $30,1,1,1,,,1,1,,,,,1,,,,,,,,,,,,,
MS.AUD,$50 - $60,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.AUD,$60 - $70,1,1,1,,,1,1,,,,,,1,1,1,,,,,,,,,,1
MS.AUD,$40 - $50,1,1,1,,,1,1,,,1,,1,1,1,1,,,1,,,,,,,
MS.AUD,Less than $30,1,1,,,,1,,,1,,,1,1,1,1,,,,,,,,,,
MS.AUD,$50 - $60,1,1,1,1,,1,,,,1,,1,1,1,,,,,,,,,,,
MS.AUD,$40 - $50,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.AUD,$40 - $50,1,1,1,,,1,1,,,,1,1,1,1,1,,,,,,,,,,1
MS.AUD,$70 - $80,,,,,,1,,,,,,,,,,,,,,,,,,,
MS.AUD,$70 - $80,1,1,1,,,1,,,,,,,1,1,1,,,1,,,,,,,
MS.AUD,$50 - $60,1,,,,,1,,,,,,,1,1,,,,,,,,,,,
MS.AUD,Less than $30,1,1,,,,1,,,,,,,,1,1,,,,,,,,,,
MS.AUD,$50 - $60,1,1,1,,,1,1,1,,,1,1,1,1,1,,,,,,,,,,
MS.AUD,$40 - $50,,,,,,,,,,,,,1,1,,,,,,,,,,,
MS.AUD,$50 - $60,1,1,1,,,1,1,,,,,1,1,,,,,,,,,,,,
MS.AUD,$70 - $80,1,1,,,,1,,,,,,1,1,1,,,,,,,,,,,
MS.AUD,Less than $30,1,1,,,,1,,,,,,,1,1,,,,1,,,,,,,
MS.AUD,$40 - $50,,,1,,,1,,,,,,,1,,1,,,,,,,,,,
MS.AUD,Less than $30,1,1,1,,,1,,,,,1,,1,1,,,,,,,,,,,
MS.AUD,$70 - $80,1,1,1,,,1,,,,,1,1,1,1,1,,,,,,,,,,
MS.AUD,$30 - $40,1,1,1,,,1,1,,,,,,1,1,1,,,,,,,,,,
MS.AUD,$70 - $80,1,1,1,,,1,1,1,,,,,1,1,,,,,,,,,,,
MS.AUD,Less than $30,1,1,1,1,,1,1,,,,1,1,1,1,1,,,1,,,,,,,
MS.AUD,$50 - $60,1,1,1,1,,1,1,,,,,,1,1,,,,1,,,,,,,
MS.AUD,$40 - $50,1,1,1,,,1,1,,,,,1,1,1,1,,,1,,,,,,,
MS.HP,$40 - $50,,1,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.HP,$40 - $50,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.HP,$40 - $50,,,,,,1,,,,,,,1,1,1,,,,,,,,,,
MS.HP,$50 - $60,1,,,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.HP,$50 - $60,1,1,1,,,1,,,,,,1,1,1,1,,,,,,,,,,
MS.HP,$80 - $90,,,,,,,,,,,,,1,1,,,,,,,,,,,
MS.HP,$50 - $60,1,,1,,,1,,,,,,,1,1,1,,,,,,,,,,
MS.HP,$40 - $50,1,,,,,1,,,,,,,1,1,,,,,,,,,,,
MS.HP,$40 - $50,1,,1,,,,,,,,,,1,1,1,,,,,,,1,,,
MS.HP,$40 - $50,1,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.HP,$60 - $70,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.HP,$50 - $60,1,,,,,1,,,,,,,1,1,,,,,,,,,,,
MS.HP,$40 - $50,,,,,,,,,,,,,1,1,,,,,,,,,,,
MS.HP,$50 - $60,1,1,1,,,1,,,,,,,1,1,1,,,,,,,,,,
MS.HP,$30 - $40,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,
MS.HP,$40 - $50,1,,1,,,1,,,,,,,1,1,1,,,,,,,,,,
MS.HP,$70 - $80,,,,,,,,,,,,,,,1,,,,,,,,,,
MS.HP,$30 - $40,,,,,,,,,,,,,,1,,,,,,,,,,,
MS.HP,$30 - $40,1,1,1,,,1,,,,,1,1,1,1,1,,,,,,,,,,
MS.HP,$30 - $40,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.HP,$50 - $60,1,,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.HP,$40 - $50,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.HP,$40 - $50,1,,,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.HP,Less than $30,1,1,1,,,1,,,,,,1,1,1,1,,,,,,,,,,
MS.HP,$60 - $70,1,1,1,,,1,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$60 - $70,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,1,,,,,,,,,
MS.RED,$40 - $50,1,1,,,,1,,,,,,1,1,1,,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
